id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50433489,Modern apartment in Altstetten,152609650,Lisa,Kreis 9,Altstetten,47.3864,8.47701,Entire home/apt,94,2,0,,,1,0,0,
50463303,Cozy private 2-room apartment close to the lake.,375505684,Juli,Kreis 3,Alt-Wiedikon,47.36386,8.51852,Entire home/apt,110,4,2,2022-06-19,0.59,1,1,2,
50496017,Bright spacious room in multi-storey apartment,194488207,Oliver,Kreis 2,Enge,47.35774,8.52893,Private room,80,1,2,2021-09-12,0.16,4,0,0,
50521276,Perle,329351736,Adhurim,Kreis 11,Oerlikon,47.40341,8.55141,Entire home/apt,95,14,1,2021-07-10,0.07,1,0,0,
50557411,Beautiful flat by the lake and in center of Zurich,7601761,Visakha,Kreis 2,Enge,47.36501,8.53763,Entire home/apt,200,2,14,2022-04-10,0.93,1,49,8,
50618312,Comfortable apartment in Zurich Oerlikon,20342353,Martin,Kreis 11,Oerlikon,47.40681,8.55373,Entire home/apt,70,3,9,2022-08-20,0.75,1,4,9,
50631529,Lovely 2-bedroom near central Zurich,13449879,Hossein,Kreis 10,Höngg,47.40228,8.49539,Entire home/apt,215,7,0,,,1,0,0,
50691075,Bright studio in the city center (Greenyard 1),23561865,Tania,Kreis 6,Unterstrass,47.382195,8.544195,Entire home/apt,119,2,5,2022-01-01,0.36,20,11,4,
50713082,Nice quiet flat with two terraces,19329570,Blanca,Kreis 3,Alt-Wiedikon,47.35713,8.51536,Entire home/apt,200,1,4,2022-06-06,0.27,2,7,1,
50719381,"City Center / Altstetten - 1 BR, own Parking",1746873,Frank,Kreis 9,Altstetten,47.39074,8.48526,Entire home/apt,162,2,75,2022-09-17,5.31,7,43,68,
50721753,"Beautiful, bright ""Chalet"" like flat in Zurich",9868934,Sarah,Kreis 6,Unterstrass,47.38953,8.53784,Entire home/apt,145,3,3,2021-12-05,0.22,2,0,1,
50739017,Luminous 2-room-flat in quiet Zurich-Witikon,410033629,Selin,Kreis 7,Witikon,47.35733,8.59269,Entire home/apt,93,14,3,2022-08-28,0.23,1,0,2,
50743403,Modern design apartment with balcony,173153111,Eva,Kreis 3,Sihlfeld,47.3803,8.50323,Entire home/apt,67,4,8,2022-09-10,0.70,1,6,8,
50768456,Unique artistik cosy priv. room in authentic house,119640383,Rayén,Kreis 7,Hirslanden,47.3628,8.55965,Private room,82,1,14,2022-09-18,0.96,6,0,3,
50782304,Wohnen am Römerhof APOLLO,336827675,Tiziana,Kreis 7,Hottingen,47.36961,8.56198,Entire home/apt,170,3,4,2022-04-14,0.43,15,355,4,
50806513,Wohnung mit Aussichts-Terrasse im Herzen der Stadt,60106807,Fortunat,Kreis 6,Unterstrass,47.38349,8.54354,Entire home/apt,200,4,3,2022-05-11,0.21,1,0,2,
