id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20349682,"1 Bedroom Serviced Apartment, Seefeld",24506494,EMA House,Kreis 8,Seefeld,47.36111,8.55034,Entire home/apt,272,2,1,2020-09-14,0.05,18,338,0,
20397857,"Urban 2.5 room flat,huge balcony, close to centre",77707366,Patrick,Kreis 9,Altstetten,47.38269,8.49523,Entire home/apt,120,7,22,2019-04-14,0.39,1,5,0,
20429590,Penthouse Mainau,96690844,Bernhard,Kreis 8,Seefeld,47.35975,8.54969,Entire home/apt,550,3,13,2022-05-02,0.22,1,296,2,
20468531,Room in Design & Lifestyle Hotel,146143183,Beat,Kreis 7,Fluntern,47.37336,8.5543,Hotel room,195,1,27,2022-06-01,0.46,1,172,2,
20621446,"Zürich - Modern, Comfortable, Designer & Central",26784112,Zurich,Kreis 11,Oerlikon,47.41354,8.54605,Entire home/apt,87,5,61,2022-06-22,1.12,1,46,7,
20636301,Spacious apartment just behind the railway station,66592862,Martin,Kreis 5,Gewerbeschule,47.38136,8.53346,Entire home/apt,267,3,102,2022-06-23,1.77,1,248,31,
20647388,"Central city,beautiful room,parking",135958025,Chris,Kreis 8,Mühlebach,47.36103,8.55621,Private room,88,1,48,2018-10-27,0.82,3,358,0,
20676422,"Kleine City Wohnung ""Top of Zurich City""",147944640,Paul,Kreis 4,Langstrasse,47.37795,8.52193,Entire home/apt,86,90,1,2019-12-23,0.03,1,273,0,
20779394,Zurich Wiedikon lovely & cosy apartment -Rooftop-,1224221,Janet,Kreis 3,Alt-Wiedikon,47.36533,8.52205,Private room,53,3,61,2019-11-14,1.05,1,0,0,
20779854,"Enjoy Zurich:super central, Bellevue and Zurilake",38078303,Rozalina,Kreis 8,Mühlebach,47.35762,8.55756,Private room,87,3,5,2021-04-26,0.09,1,21,0,
20795036,RELOC Cosy 1-room-apartment,46465899,"RELOC Serviced Apartments, Zurich",Kreis 11,Seebach,47.4156,8.5451,Entire home/apt,130,7,6,2020-03-14,0.11,18,8,0,
20829919,In the heart of Zurich,149424509,Daniela,Kreis 4,Werd,47.3713,8.52514,Entire home/apt,150,4,39,2021-08-02,0.67,1,233,2,
20830377,Single family 4 bedroom house with lakeview,53324682,Karen,Kreis 2,Wollishofen,47.33689,8.53426,Entire home/apt,360,4,7,2018-08-22,0.13,1,82,0,
20953743,"Central apartment close to lake Zurich, Seefeld",3032638,Tofi,Kreis 8,Seefeld,47.35556,8.55478,Entire home/apt,139,25,25,2020-10-17,0.43,1,32,0,
20992774,"Modern and Bright Apartment, with a View.",151111609,Ruth,Kreis 10,Wipkingen,47.39647,8.52569,Entire home/apt,90,50,2,2019-02-23,0.04,1,0,0,
21086485,Nice 2BD flat city center / near FIFA (Wille 3),23561865,Tania,Kreis 2,Enge,47.36376,8.53257,Entire home/apt,179,2,64,2022-06-19,1.13,27,0,24,
21109761,"Lovely apartment close to city Center, ETH & Uni",35801482,Sebastian,Kreis 6,Oberstrass,47.37911,8.55166,Entire home/apt,66,2,153,2022-06-20,2.70,1,36,47,
21130086,"New, spacious & charming Flat in central Zurich",8616185,Fabian,Kreis 7,Hirslanden,47.36094,8.56591,Entire home/apt,199,2,30,2022-06-02,0.55,1,332,5,
21143348,Quiet Room Close To Zürich City Center,90238660,Harjit,Kreis 9,Altstetten,47.38561,8.48861,Private room,53,1,62,2022-06-13,1.11,1,3,34,
