id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52833732,"Spacious, cozy and central Zurich studio",78053132,Idy,Kreis 1,Rathaus,47.37275,8.54638,Entire home/apt,65,7,13,2022-10-26,0.95,1,0,11,
52835238,Large 3 room Zurich apartment 8 min to city center,3867295,Mirko,Kreis 11,Seebach,47.41408,8.5421,Entire home/apt,137,1,10,2021-12-20,0.72,1,0,0,
52837618,"Bright, cozy and central apartment fully equipped",30888316,Janoi,Kreis 5,Gewerbeschule,47.38291,8.53866,Entire home/apt,250,6,1,2022-01-15,0.09,1,0,1,
52849703,Single room with shared bath in a hotel,322266523,Krone,Kreis 1,Rathaus,47.37314,8.5425,Private room,70,7,0,,,9,0,0,
52851335,Cozy Stay next to Zurich Main Station with balcony,427908290,Jeyla,Kreis 5,Gewerbeschule,47.38095,8.53619,Entire home/apt,179,1,92,2022-12-11,6.83,3,308,87,
52866685,"Sunny, Ventilated and warm room in Zürich",362216440,Lou,Kreis 4,Langstrasse,47.37535,8.51942,Private room,100,1,10,2022-08-29,0.74,2,179,9,
52877360,Zurich City Center Beautiful Flat,32686636,Wael,Kreis 4,Langstrasse,47.37932,8.529,Entire home/apt,100,4,12,2022-09-18,0.85,1,0,9,
52879087,Nice Appartment Zürich Seefeld,405503857,Karen,Kreis 8,Mühlebach,47.34973,8.56377,Entire home/apt,160,4,4,2022-10-02,0.92,1,307,4,
52910357,Penthouse flat in the city center/near lake (SF18),23561865,Tania,Kreis 8,Mühlebach,47.361256,8.551727,Entire home/apt,215,2,22,2022-12-22,1.63,34,0,21,
52911601,Cosy studio in höng,356236892,Aminata,Kreis 10,Höngg,47.40291,8.49591,Entire home/apt,111,2,0,,,1,304,0,
52930138,Schöne Wohnung in Zürich (Wiedikon),8978044,Christin,Kreis 3,Sihlfeld,47.37132,8.51281,Entire home/apt,75,2,4,2022-01-10,0.32,1,0,3,
52945329,3.5 room apartment in Zurich-Oerlikon (BA-31),25291258,Delta Estates,Kreis 11,Oerlikon,47.40939,8.54068,Entire home/apt,130,7,3,2022-04-30,0.24,21,58,2,
52946446,Lovely top floor apartment in district 4,51488519,Denise,Kreis 4,Hard,47.38089,8.51532,Entire home/apt,149,10,0,,,1,96,0,
52962903,"Spacious apt, bedroom, living room, porch",127306659,Michael,Kreis 2,Enge,47.36515,8.52684,Entire home/apt,95,2,90,2022-12-24,6.31,1,29,78,
53025594,"Beautiful studio ""Piccolo"" fully furnished",371008290,Sonia,Kreis 6,Unterstrass,47.395203,8.544974,Entire home/apt,81,1,104,2022-12-23,7.43,6,163,95,
53026236,Viktoria Budget Hostel,293156053,Lena,Kreis 10,Höngg,47.39942,8.50025,Shared room,54,1,20,2022-12-09,1.41,3,274,14,
53048373,3.5 room apartment in Zurich-Oerlikon (BA-22),25291258,Delta Estates,Kreis 11,Oerlikon,47.40881,8.54124,Entire home/apt,130,7,12,2022-12-13,1.25,21,353,12,
53089834,Lovely vacation home in Zurich 5min to the center,55578096,Antonio,Kreis 4,Langstrasse,47.37425,8.52541,Entire home/apt,202,1,7,2022-09-18,0.51,1,115,6,
53103297,»Cozy Apartment in Zürich«/WLAN/NETFLIX/KITCHEN,348327394,Saschja,Kreis 6,Oberstrass,47.3938,8.54637,Entire home/apt,136,3,77,2022-12-12,5.68,4,119,70,
53106910,Fancy 1BR flat in the city center (SF19),23561865,Tania,Kreis 8,Mühlebach,47.356869,8.555617,Entire home/apt,199,2,14,2022-12-16,1.02,34,27,10,
53140361,Super bright and beautiful Apartment in Kreis 3,72300833,Daniela,Kreis 3,Alt-Wiedikon,47.36017,8.51203,Entire home/apt,250,4,1,2022-09-20,0.29,1,267,1,
53150476,Super Weekend Studio in Zürich,22808746,Elena,Kreis 1,Hochschulen,47.37063,8.54734,Entire home/apt,60,2,37,2022-11-07,2.66,1,25,32,
53164879,Single Room with shared bathroom in a pop up hotel,322266523,Krone,Kreis 1,Rathaus,47.37319,8.54275,Private room,70,7,2,2022-02-06,0.16,9,0,1,
53167399,Furnished Room in Apartment to share,1496480,Rene,Kreis 10,Wipkingen,47.3939,8.52666,Private room,59,6,1,2022-07-16,0.18,2,0,1,
53197312,Modern Zurich Center Apartment / Pampas grass,427908290,Jeyla,Kreis 4,Langstrasse,47.37893,8.53777,Entire home/apt,162,1,109,2022-12-25,8.11,3,336,101,
53198478,Zurich Centered Apartment/ Plants,427908290,Jeyla,Kreis 5,Gewerbeschule,47.38059,8.53639,Entire home/apt,164,1,76,2022-12-17,5.63,3,359,73,
53225151,The Pastorini - Stylish Holiday Apartment,212648112,Delphine,Kreis 7,Hottingen,47.37055,8.55561,Entire home/apt,351,2,36,2022-12-14,2.90,2,135,35,
53253600,Lovely 2.5 bedroom apartment in the center,19468372,Jeremie,Kreis 2,Enge,47.35856,8.52633,Entire home/apt,100,3,1,2021-11-20,0.07,1,0,0,
53305756,"Amazing view, flat in Zurich, 3-rooms",431559000,Norma,Kreis 10,Höngg,47.39706,8.50866,Entire home/apt,165,3,4,2022-12-03,0.30,1,81,3,
53306953,3BR: In the middle of the city woth park & river,83271512,José-Luis,Kreis 6,Unterstrass,47.38578,8.53845,Entire home/apt,330,6,1,2021-12-09,0.08,15,0,0,
53308677,CASA BLUMER - Room in villa near airport+center,303406613,Christina,Kreis 11,Oerlikon,47.410255432128906,8.530701637268066,Private room,237,1,5,2022-11-13,0.43,4,357,5,
53333102,(7) Cosy & Central Apartment in Zurich,10540353,Godfred,Kreis 5,Gewerbeschule,47.38468,8.52983,Entire home/apt,143,2,21,2022-12-05,1.96,2,42,21,
53378114,One bedroom in lovely central home 🌿,22425093,Anto,Kreis 4,Langstrasse,47.37547,8.52255,Private room,105,7,5,2022-06-04,0.41,2,210,5,
